t_ms,cpu_pct,ram_mb
1036.3,96.80,210.16
2037.1,345.30,423.71
3039.6,173.40,433.25
4040.3,95.30,564.90
5041.4,95.30,641.42
6042.0,95.30,706.45
7043.1,90.60,608.68
8043.5,98.40,693.88
9044.3,101.60,737.55
10046.5,92.20,822.76
11047.0,93.80,865.24
12047.4,106.20,431.24
13047.8,96.90,484.93
14049.4,90.60,556.63
15049.8,90.60,610.23
16050.4,95.30,676.23
17050.8,92.20,729.86
18051.2,89.10,803.66
19051.7,90.60,857.38
20052.4,89.10,899.97
21053.1,92.20,984.86
22053.7,95.30,434.38
23054.3,95.30,476.82
24054.8,89.10,561.62
25055.5,103.10,596.51
26056.7,92.40,659.34
27056.9,92.20,724.12
28057.4,90.60,766.55
29057.9,90.60,809.34
30058.7,90.60,851.77
31059.7,92.20,937.50
32060.4,95.30,979.93
33061.3,84.40,1022.56
34062.0,107.80,429.23
35062.6,89.10,429.64
36063.1,95.30,431.13
37063.7,82.80,432.79
38064.6,76.60,430.01
39065.2,100.00,430.65
40065.6,96.90,430.95
41066.3,103.10,429.07
42066.8,95.30,480.34
43067.7,96.90,521.24
44068.6,93.80,521.43
45069.4,95.30,521.63
46070.1,98.40,502.64
47070.9,89.10,521.13
48071.6,89.10,522.12
49072.2,89.20,522.25
50072.8,90.60,518.55
51073.5,96.90,522.45
52074.3,92.20,522.32
53074.7,90.60,521.91
54075.1,98.40,523.32
55076.0,96.90,505.02
56076.4,92.20,522.64
57076.7,96.90,522.71
58077.2,98.40,523.08
59078.1,98.40,517.36
60079.4,93.80,517.50
61079.9,93.80,517.54
62080.7,89.10,517.77
63081.1,93.80,518.30
64081.3,114.10,517.05
65081.8,93.80,518.09
66082.6,90.60,518.02
67083.0,92.20,518.10
68083.4,90.60,518.19
69084.0,103.10,518.29
70085.0,87.50,508.52
71085.4,87.50,508.15
72086.0,93.80,518.31
73086.8,93.80,518.61
74087.5,87.70,500.16
75089.0,93.80,518.21
76090.6,98.40,518.73
77091.2,103.10,501.22
78091.6,87.50,519.16
79092.4,87.50,519.26
80092.7,95.30,519.27
81093.3,92.20,519.27
82093.9,100.00,519.35
83094.8,90.60,521.44
84095.5,95.30,521.50
85095.9,93.80,486.74
86096.5,84.40,522.61
87097.0,92.20,522.59
88097.6,103.10,522.63
89098.0,92.20,522.66
90098.4,93.80,522.75
91099.0,84.40,522.74
92099.4,89.10,522.82
93100.0,90.60,522.78
94100.8,96.90,504.79
95102.3,84.40,522.54
96103.0,93.80,567.50
97103.8,87.70,523.29
98104.3,95.30,523.10
99104.7,93.80,523.06
100105.3,101.60,523.00
101106.0,103.10,570.04
102106.7,93.80,505.45
103107.7,90.60,521.68
104108.0,76.60,563.25
105108.7,81.20,584.75
106109.1,85.90,585.11
107109.8,92.20,585.26
108110.5,96.90,585.30
109111.1,100.00,547.93
110111.7,82.80,585.32
111112.3,89.10,585.33
112112.9,92.20,585.33
113113.3,92.20,585.38
114113.7,93.80,585.31
115114.1,95.30,585.38
116114.6,95.30,585.38
117115.0,90.60,585.39
118115.3,92.20,585.71
119115.6,85.90,585.72
120116.6,90.60,585.72
121117.2,90.60,585.73
122117.5,93.80,566.95
123118.3,89.10,585.77
124119.1,84.60,585.80
125119.8,89.10,585.82
126120.4,81.20,566.74
127121.1,35.90,585.58
128121.7,87.50,585.77
129122.3,93.80,585.62
130122.8,89.10,566.92
131124.5,85.90,585.55
132125.0,95.30,585.59
133125.6,90.60,585.62
134126.4,96.90,585.66
135126.9,93.80,585.66
136127.6,89.10,585.67
137128.4,87.50,585.68
138128.9,70.30,585.68
139129.3,67.20,585.59
140130.1,85.90,566.83
141130.5,89.10,575.79
142131.0,90.60,585.68
143131.7,87.50,585.70
144132.5,93.80,585.71
145133.1,92.20,585.72
146133.5,96.90,567.35
147134.6,52.30,548.71
