t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.2,1,0,86.25,87.66,4096.00,0.00,122.38,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
103.8,1,0,86.20,87.66,4096.00,0.00,122.38,3.58,0.0358,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
215.4,1,0,86.20,87.66,4096.00,0.00,0.00,11.64,0.1164,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
397.2,1,0,86.20,87.66,4096.00,0.00,0.00,81.76,0.8176,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
578.2,1,0,86.20,87.66,4096.00,0.00,0.00,80.97,0.8097,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
762.7,1,1,86.19,87.41,4096.00,0.00,122.38,84.54,0.8454,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
866.0,1,1,86.19,87.41,4096.00,0.00,122.38,3.33,0.0333,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
972.9,1,1,86.19,87.41,4096.00,0.00,0.00,6.89,0.0689,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
1155.1,1,1,86.20,87.41,4096.00,0.00,0.00,82.19,0.8219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
1336.2,1,1,86.20,87.41,4096.00,0.00,0.00,81.11,0.8111,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
1519.3,1,2,86.21,88.41,4096.00,0.00,122.38,83.13,0.8313,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
1633.5,1,2,86.21,88.41,4096.00,0.00,122.38,14.14,0.1414,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
1735.1,1,2,86.21,88.41,4096.00,0.00,0.00,1.61,0.0161,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
1916.1,1,2,86.21,88.41,4096.00,0.00,0.00,80.97,0.8097,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
2097.2,1,2,86.21,88.41,4096.00,0.00,0.00,81.18,0.8118,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
2278.4,1,3,86.21,87.16,4096.00,0.00,122.38,81.20,0.8120,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
2386.4,1,3,86.21,87.16,4096.00,0.00,122.38,7.93,0.0793,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
2491.6,1,3,86.21,87.16,4096.00,0.00,0.00,5.28,0.0528,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
2672.8,1,3,86.21,87.16,4096.00,0.00,0.00,81.19,0.8119,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
2855.3,1,3,86.21,87.16,4096.00,0.00,0.00,82.44,0.8244,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
3036.7,1,4,86.26,88.16,4096.00,0.00,122.38,81.44,0.8144,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
3138.0,1,4,86.22,88.16,4096.00,0.00,122.38,1.25,0.0125,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
3247.2,1,4,86.22,88.16,4096.00,0.00,0.00,9.25,0.0925,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
3427.7,1,4,86.22,88.16,4096.00,0.00,0.00,80.47,0.8047,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
3609.0,1,4,86.22,88.16,4096.00,0.00,0.00,81.35,0.8135,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
3792.7,1,5,86.27,88.42,4096.00,0.00,122.38,83.68,0.8368,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:29:13.840Z,"batch-detect yolo vivobook_hp_20260605 n=179"
