t_ms,cpu_pct,ram_mb
1021.3,79.70,647.52
2023.1,98.40,738.29
3024.0,104.70,790.45
4024.6,93.80,762.87
5025.3,82.80,847.71
6026.3,89.10,847.92
7028.8,89.10,793.39
8029.4,96.90,839.18
9030.0,92.20,839.58
10030.7,89.10,842.04
11031.3,96.90,807.35
12033.5,103.10,839.05
13034.0,107.80,839.29
14034.6,93.80,840.23
15036.1,87.50,795.71
16037.1,84.40,818.32
17037.6,90.60,840.94
18038.2,87.50,796.27
19038.9,92.20,796.39
20039.5,90.70,841.11
21040.2,95.30,841.35
22040.7,96.90,796.61
23041.4,93.80,796.57
24042.3,96.90,805.24
25043.3,92.20,800.56
26044.0,92.20,800.56
27044.6,100.00,845.53
28045.0,98.40,754.07
29045.7,87.50,794.32
30046.5,84.40,838.66
31047.8,93.80,838.83
32048.4,93.80,794.62
33049.2,95.30,814.58
34050.0,85.90,838.79
35050.6,87.50,794.10
36051.0,95.30,794.54
37051.8,84.40,839.25
38052.4,95.30,839.51
39053.4,89.10,767.95
40054.4,81.20,833.79
41055.1,84.60,839.61
42055.7,87.50,794.90
43056.2,92.20,793.51
44056.8,90.60,839.20
45057.3,87.50,834.50
46058.0,89.10,794.21
47058.5,93.80,821.70
48059.0,101.60,842.80
49059.7,92.20,873.12
50060.3,89.10,873.76
51060.8,81.20,944.86
52061.7,95.30,909.20
53064.1,100.00,838.57
54065.5,93.80,882.38
55066.3,95.30,874.61
56067.0,89.10,909.72
57067.5,92.20,876.37
58067.9,106.20,876.51
59068.3,90.60,912.12
60069.1,93.80,841.29
61069.6,81.30,876.58
62070.1,85.90,841.74
63070.9,89.30,841.76
64071.5,85.90,887.68
65072.0,85.90,946.44
66072.5,82.80,947.57
67073.2,95.30,844.03
68073.9,96.90,878.44
69074.6,104.70,886.23
70075.4,95.30,956.30
71075.9,96.90,851.52
72077.0,92.20,886.38
73077.8,82.80,956.69
74078.7,89.10,957.12
75079.2,104.70,853.21
76080.3,82.80,958.09
77081.0,90.60,958.24
78081.7,90.60,888.43
79082.5,89.10,882.23
80083.3,85.90,952.23
81084.0,90.60,882.34
82084.7,95.30,882.34
83085.5,89.10,952.36
84086.2,89.20,824.05
85086.8,84.40,882.96
86087.8,109.40,882.65
87088.6,89.10,904.20
88090.1,78.10,876.66
89090.9,93.80,876.28
90091.4,100.00,889.52
91091.9,89.10,842.86
92093.1,92.20,842.77
93093.5,90.60,876.80
94094.5,84.40,876.87
95095.1,92.20,914.06
96095.8,87.50,878.69
97096.5,98.40,916.80
98097.2,95.30,881.53
99097.7,87.50,846.23
100098.5,90.60,844.96
101098.9,92.20,841.34
102099.8,84.40,883.77
103101.0,84.40,879.33
104101.7,87.70,843.61
105102.2,85.90,843.98
106102.8,82.80,877.18
107103.3,93.80,948.82
108103.7,84.40,836.07
109105.1,95.30,842.52
110106.0,96.90,841.28
111106.7,90.60,808.71
112107.2,82.80,952.45
113107.7,87.50,952.42
114108.1,95.30,881.36
115108.8,85.90,881.69
116109.5,82.80,972.79
117110.4,100.00,884.74
118111.5,79.70,921.45
119112.2,82.80,996.53
120113.1,92.20,996.62
121113.7,92.20,921.71
122114.6,85.90,921.71
123115.1,78.10,997.54
124115.5,106.20,859.31
125115.9,81.20,921.89
126116.6,85.90,919.24
127117.1,78.40,951.79
128118.2,75.00,923.21
129118.7,82.80,923.21
130119.0,90.60,1017.01
131119.8,84.40,1017.08
132120.4,104.70,942.12
133121.0,87.50,942.18
134122.0,82.80,1017.43
135122.9,84.40,1017.52
136123.6,101.60,879.95
137124.4,73.40,1017.59
138124.8,85.90,1012.76
139125.5,87.50,938.38
140126.1,85.90,938.32
141126.6,84.40,951.32
142127.4,98.40,881.28
143128.1,84.40,943.78
144128.7,85.90,941.04
145129.6,81.20,1016.07
146130.3,84.40,1018.04
147131.1,89.10,942.98
148131.8,95.30,943.08
149132.7,86.10,1018.14
150133.4,76.60,1018.21
151133.8,84.40,880.65
152134.5,82.80,980.39
153135.2,82.80,980.96
154135.7,89.10,905.98
155136.5,81.20,905.93
156138.2,84.40,1018.14
157138.6,92.20,1018.78
158139.0,84.40,943.77
159139.7,84.40,943.79
160140.6,87.50,1018.95
161140.9,82.80,1019.54
