t_ms,cpu_pct,ram_mb
1027.9,215.70,460.39
2028.6,209.40,762.04
3029.6,179.70,746.95
4030.3,195.30,944.46
5030.8,195.30,903.27
6031.5,184.40,997.68
7032.5,193.80,1064.51
8033.2,200.00,1156.28
9033.9,190.60,1204.29
10034.5,192.20,1252.65
11036.9,176.60,1299.10
12037.6,190.60,880.63
13038.5,192.20,925.57
14039.1,193.80,966.11
15039.7,198.40,1033.68
16042.3,170.30,695.36
17042.8,92.20,737.79
18043.2,93.80,822.66
19043.4,95.30,907.67
20043.9,95.30,950.20
21045.0,95.30,442.51
22045.6,90.60,484.93
23046.0,92.20,569.85
24046.4,92.20,656.25
25046.7,92.20,701.18
26047.4,95.40,783.15
27048.0,90.60,868.01
28048.7,95.30,921.66
29049.1,101.60,995.50
30049.7,95.30,1081.00
31050.2,95.30,446.16
32050.9,101.60,531.12
33051.4,104.70,574.73
34051.7,109.40,659.55
35052.0,98.40,701.90
36052.7,95.30,784.50
37053.5,100.00,865.91
38053.7,95.30,1019.71
39054.4,107.80,519.86
40055.8,89.10,538.15
41056.2,93.80,537.77
42057.0,92.20,538.03
43057.9,89.10,537.46
44058.8,96.90,538.28
45059.7,93.80,538.41
46060.3,98.40,538.39
47060.8,95.30,538.52
48061.2,96.90,506.39
49062.1,85.90,538.38
50062.8,90.60,538.69
51063.4,115.30,507.86
52063.9,92.20,538.72
53064.5,98.40,519.69
54065.0,103.10,520.01
55065.6,98.40,520.05
56066.4,96.90,502.51
57067.3,95.30,520.08
58067.7,100.00,520.06
59068.5,100.00,518.86
60069.2,98.40,519.04
61070.0,89.10,519.16
62070.3,92.20,519.96
63070.8,87.50,520.10
64071.3,93.80,520.23
65072.0,96.90,520.20
66072.7,93.80,519.86
67073.0,100.00,503.02
68073.8,87.50,521.52
69074.4,93.80,521.75
70075.1,95.30,521.82
71076.0,95.30,521.91
72076.6,89.10,521.91
73077.5,98.40,521.95
74078.0,92.20,515.66
75079.2,98.40,524.16
76080.0,100.00,524.66
77080.5,104.70,521.96
78081.3,93.80,522.27
79081.9,93.80,522.35
80082.6,103.10,522.38
81083.3,93.80,521.77
82084.0,95.30,522.01
83084.6,101.60,521.89
84085.4,95.30,522.07
85086.0,103.10,522.53
86086.5,100.00,521.00
87087.1,98.40,522.04
88087.5,98.40,504.41
89089.7,103.10,522.39
90090.5,95.30,578.25
91091.2,90.60,566.82
92091.7,103.10,566.86
93092.3,101.60,573.01
94093.0,92.20,564.48
95093.6,95.30,564.95
96094.4,101.60,565.75
97094.6,98.40,565.75
98095.1,101.60,565.77
99095.4,95.30,565.91
100095.8,98.40,565.92
101096.4,110.90,566.12
102096.9,95.30,580.05
103097.3,93.80,564.46
104097.7,93.80,553.57
105098.4,96.90,564.70
106099.2,93.80,565.18
107099.7,95.30,565.34
108100.2,87.50,545.60
109100.5,93.80,565.17
110101.0,100.00,565.26
111101.5,93.80,565.29
112102.2,101.60,565.23
113102.7,92.20,565.41
114103.4,93.80,564.52
115103.6,115.60,564.89
116104.5,92.20,565.07
117104.9,101.60,565.71
118105.6,103.10,565.78
119106.1,103.10,568.02
