t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,212.80,213.34,4096.00,122.38,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
101.8,1,0,212.80,213.34,4096.00,0.00,0.00,1.72,0.0172,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
283.8,1,0,212.80,213.34,4096.00,0.00,0.00,81.92,0.8192,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
466.9,1,0,212.81,213.34,4096.00,0.00,0.00,83.15,0.8315,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
648.6,1,1,255.17,255.90,4096.00,0.00,0.00,81.73,0.8173,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
829.7,1,1,255.17,255.90,4096.00,0.00,0.00,81.04,0.8104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
1011.9,1,1,255.17,255.90,4096.00,0.00,0.00,82.20,0.8220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
1193.7,1,2,297.54,298.21,4096.00,0.00,0.00,81.82,0.8182,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
1374.9,1,2,297.54,298.21,4096.00,0.00,0.00,81.17,0.8117,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
1556.6,1,2,297.55,298.46,4096.00,0.00,0.00,81.77,0.8177,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
1737.6,1,3,339.92,340.77,4096.00,122.38,0.00,80.99,0.8099,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
1848.1,1,3,339.92,340.77,4096.00,0.00,0.00,10.51,0.1051,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
2029.0,1,3,339.92,340.77,4096.00,0.00,0.00,80.86,0.8086,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
2210.4,1,3,339.92,340.77,4096.00,0.00,0.00,81.45,0.8145,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
2392.6,1,4,382.30,383.08,4096.00,0.00,0.00,82.11,0.8211,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
2575.5,1,4,382.30,383.08,4096.00,0.00,0.00,82.93,0.8293,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
2757.3,1,4,382.30,383.08,4096.00,0.00,0.00,81.83,0.8183,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
2938.4,1,4,382.30,383.08,4096.00,0.00,0.00,81.10,0.8110,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
3120.1,1,5,424.67,425.64,4096.00,122.38,0.00,81.66,0.8166,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
3281.1,1,5,424.67,425.64,4096.00,0.00,0.00,61.03,0.6103,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
3463.8,1,5,424.67,425.64,4096.00,0.00,0.00,82.69,0.8269,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
3645.1,1,5,424.67,425.64,4096.00,0.00,0.00,81.27,0.8127,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
3828.3,1,6,467.04,467.95,4096.00,122.38,0.00,83.20,0.8320,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
3976.8,1,6,466.66,467.45,4096.00,0.00,0.00,48.50,0.4850,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
4158.7,1,6,466.66,467.45,4096.00,0.00,0.00,81.91,0.8191,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
4339.7,1,6,466.66,467.45,4096.00,0.00,0.00,81.04,0.8104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
4520.6,1,7,509.03,510.01,4096.00,0.00,0.00,80.92,0.8092,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
4702.6,1,7,509.03,510.01,4096.00,0.00,0.00,81.99,0.8199,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
4883.8,1,7,509.03,510.01,4096.00,0.00,0.00,81.19,0.8119,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
5064.6,1,8,551.39,552.57,4096.00,122.38,0.00,80.83,0.8083,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
5189.7,1,8,550.89,552.05,4096.00,0.00,0.00,25.03,0.2503,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
5372.5,1,8,550.89,552.05,4096.00,0.00,0.00,82.84,0.8284,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
5555.1,1,8,550.89,552.05,4096.00,0.00,0.00,82.63,0.8263,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
5737.1,1,8,550.89,552.05,4096.00,0.00,0.00,81.98,0.8198,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
5917.6,1,9,85.54,86.64,4096.00,0.00,0.00,80.52,0.8052,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
6099.5,1,9,85.54,86.64,4096.00,0.00,0.00,81.88,0.8188,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
6281.7,1,9,85.54,86.64,4096.00,0.00,0.00,82.13,0.8213,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
6463.6,1,10,127.90,128.95,4096.00,122.38,0.00,81.97,0.8197,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
6599.2,1,10,127.90,128.95,4096.00,0.00,0.00,35.53,0.3553,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
6781.9,1,10,127.90,128.95,4096.00,0.00,0.00,82.75,0.8275,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:48:02.448Z,"batch-detect cv vivobook_hp_run4 n=179"
