t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,86.22,87.66,4096.00,0.00,122.38,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
102.4,1,0,86.18,87.66,4096.00,0.00,122.38,2.30,0.0230,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
206.7,1,0,86.18,87.66,4096.00,0.00,0.00,4.30,0.0430,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
388.7,1,0,86.18,87.66,4096.00,0.00,0.00,81.98,0.8198,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
570.3,1,0,86.18,87.66,4096.00,0.00,0.00,81.64,0.8164,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
751.4,1,1,86.23,87.91,4096.00,0.00,122.38,81.10,0.8110,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
889.5,1,1,86.17,87.41,4096.00,0.00,122.38,38.01,0.3801,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
992.0,1,1,86.17,87.41,4096.00,0.00,0.00,2.59,0.0259,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
1173.8,1,1,86.17,87.41,4096.00,0.00,0.00,81.81,0.8181,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
1355.4,1,1,86.18,87.41,4096.00,0.00,0.00,81.52,0.8152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:51:07.266Z,"batch-detect yolo vivobook_hp_run4 n=179"
