t_ms,cpu_pct,ram_mb
1021.9,182.80,740.71
2023.9,151.60,684.72
3024.8,92.20,769.67
4025.3,87.50,782.53
5026.1,90.60,869.70
6026.6,81.20,793.31
7027.2,92.20,794.15
8028.0,95.30,776.98
9028.9,87.50,819.73
10029.7,87.50,845.70
11030.3,79.70,816.07
12030.9,90.60,749.49
13031.8,93.80,772.25
14032.2,82.80,816.89
15032.7,92.20,770.61
16033.4,92.30,742.40
17035.0,85.90,771.12
18035.7,81.20,797.71
19036.2,84.40,748.86
20037.3,110.90,793.84
21037.7,79.70,816.85
22038.5,95.30,772.33
23039.4,95.30,736.22
24040.0,89.10,771.90
25040.8,82.80,772.68
26041.8,82.80,817.48
27042.1,96.90,744.23
28044.3,85.90,817.67
29044.8,89.10,771.50
30045.6,96.90,816.64
31046.3,92.20,750.15
32047.3,87.50,780.09
33048.0,89.10,772.39
34048.6,92.40,819.66
35049.4,96.90,854.89
36050.1,93.80,855.56
37050.7,64.10,855.31
38051.1,92.20,819.99
39052.1,81.20,843.06
40052.6,95.30,851.00
41053.2,84.40,815.96
42054.0,79.70,859.19
43055.4,92.20,896.27
44056.0,85.90,921.97
45056.7,89.10,818.28
46057.4,92.20,817.94
47058.2,93.80,932.04
48059.1,73.40,851.80
49059.5,96.90,863.04
50060.3,79.70,922.52
51060.7,92.20,856.20
52062.0,95.30,861.71
53062.5,73.40,851.30
54063.3,79.70,921.30
55064.1,98.40,921.61
56064.6,87.70,854.32
57066.0,87.50,924.21
58067.9,96.90,819.73
59068.6,84.40,819.90
60069.4,82.80,887.82
61070.2,87.50,853.14
62070.8,87.50,888.54
63073.0,81.20,854.34
64073.9,96.90,817.73
65074.5,87.50,902.01
66074.9,96.90,851.84
67075.8,81.20,818.38
68078.8,87.50,868.10
69079.8,82.80,857.04
70080.3,86.20,820.98
71080.8,98.40,820.93
72081.4,82.80,861.62
73081.9,96.90,818.22
74082.5,90.60,795.69
75083.1,87.50,817.55
76083.6,87.50,855.07
77084.8,79.70,889.41
78086.1,87.50,823.91
79086.5,78.10,857.41
80087.2,81.20,894.64
81087.9,82.80,930.12
82088.7,98.40,854.72
83089.2,89.10,883.23
84090.5,78.10,898.90
85091.5,101.60,836.77
86093.1,93.80,974.39
87093.9,84.40,897.32
88094.4,89.10,897.38
89094.8,79.70,934.99
90095.5,73.80,897.64
91096.5,78.10,935.19
92097.6,78.10,897.90
93098.6,82.80,896.43
94099.4,82.80,873.38
95101.0,87.50,899.22
96101.5,81.20,936.82
97102.1,87.50,861.82
98102.3,82.80,868.10
99103.3,78.10,972.66
100103.5,75.00,903.09
101104.2,79.70,937.48
102104.8,78.10,978.41
103105.6,92.20,897.60
104106.2,79.70,936.97
105106.7,87.50,899.55
106107.8,79.70,956.13
107108.5,96.90,834.98
108109.1,81.20,973.22
109109.5,85.90,899.00
110110.3,85.90,974.12
111110.6,82.80,893.72
112111.2,38.40,818.61
113112.0,0.00,818.61
