epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5947,1.4671,3.34108,1.45049,0.00711,0.56818,0.24886,0.11981,1.17987,3.22815,1.27485,5e-05,5e-05,0.09505
2,33.4364,0.82955,2.43955,1.03833,0.00581,0.5,0.17347,0.09757,1.27838,3.07569,1.38944,0.000109637,0.000109637,0.0891096
3,48.7551,0.82031,1.88043,1.00034,0.75474,0.25,0.61859,0.37978,1.02114,2.83831,1.13922,0.000168878,0.000168878,0.0831689
4,64.3725,0.77811,1.56542,1.02127,0.2007,0.95455,0.67521,0.47456,0.8763,2.73105,1.07401,0.000227723,0.000227723,0.0772277
5,79.6947,0.83886,1.44668,1.02068,0.17912,0.97727,0.81841,0.65528,0.74653,2.55341,0.98276,0.000286172,0.000286172,0.0712862
6,94.9886,0.74524,1.28636,0.96447,0.14271,1,0.9355,0.81279,0.63227,2.37968,0.92437,0.000344225,0.000344225,0.0653442
7,110.25,0.72082,1.21644,0.95058,0.33127,1,0.97967,0.84079,0.63464,2.26376,0.89926,0.000401882,0.000401882,0.0594019
8,125.446,0.67128,1.04998,0.93015,1,0.37713,0.9809,0.85293,0.62622,2.21387,0.8947,0.000459143,0.000459143,0.0534591
9,140.985,0.64329,0.99648,0.90844,0.98192,0.40852,0.99018,0.86635,0.56847,2.097,0.87961,0.000516008,0.000516008,0.047516
10,156.777,0.78273,0.96835,1.00493,0.93326,0.77191,0.995,0.87939,0.55729,1.57575,0.87991,0.000572477,0.000572477,0.0415725
11,173.284,0.69924,0.88211,0.94974,0.88753,0.93576,0.995,0.85876,0.58205,1.30989,0.87956,0.00062855,0.00062855,0.0356285
12,189.285,0.64826,0.87478,0.94514,0.89913,0.98263,0.995,0.82248,0.74584,1.08123,0.92668,0.000684227,0.000684227,0.0296842
13,217.255,0.61853,0.80486,0.94167,0.9386,0.98718,0.995,0.8236,0.71801,0.96317,0.92192,0.000739508,0.000739508,0.0237395
14,244.078,0.64625,0.72767,0.91138,0.94524,0.97666,0.995,0.88267,0.5433,0.83715,0.865,0.000794393,0.000794393,0.0177944
15,270.519,0.6337,0.83327,0.92263,0.94524,0.97666,0.995,0.88267,0.5433,0.83715,0.865,0.000848882,0.000848882,0.0118489
16,297.668,0.64142,0.73285,0.90673,0.97777,1,0.995,0.89898,0.51053,0.79739,0.8618,0.000902975,0.000902975,0.00590297
17,324.034,0.62176,0.71246,0.91998,0.97676,1,0.995,0.88424,0.57756,0.8475,0.86784,0.0009472,0.0009472,0.0009472
18,350.094,0.65682,0.75067,0.93306,0.83698,0.94504,0.995,0.89683,0.57556,1.05796,0.8673,0.0009439,0.0009439,0.0009439
19,373.592,0.60679,0.69592,0.90784,0.83698,0.94504,0.995,0.89683,0.57556,1.05796,0.8673,0.0009406,0.0009406,0.0009406
20,390.279,0.5897,0.68648,0.90671,0.76026,0.8433,0.96199,0.83362,0.66382,1.2592,0.90127,0.0009373,0.0009373,0.0009373
21,407.495,0.55446,0.66932,0.88567,0.78674,0.85911,0.93029,0.80427,0.65266,1.2333,0.90434,0.000934,0.000934,0.000934
22,424.332,0.59662,0.69039,0.91668,0.83656,0.96144,0.89236,0.76731,0.66604,1.18365,0.89754,0.0009307,0.0009307,0.0009307
23,440.776,0.54775,0.64551,0.88652,0.83656,0.96144,0.89236,0.76731,0.66604,1.18365,0.89754,0.0009274,0.0009274,0.0009274
24,456.383,0.58452,0.69456,0.89489,0.86225,0.95508,0.89225,0.7839,0.56705,1.12716,0.86793,0.0009241,0.0009241,0.0009241
25,471.664,0.61065,0.67626,0.90625,0.84708,0.9637,0.87672,0.77514,0.59651,1.08209,0.87627,0.0009208,0.0009208,0.0009208
26,487.504,0.61393,0.68493,0.91393,0.84829,0.99497,0.89411,0.77716,0.62277,0.95615,0.87981,0.0009175,0.0009175,0.0009175
27,504.304,0.5689,0.65325,0.9033,0.84829,0.99497,0.89411,0.77716,0.62277,0.95615,0.87981,0.0009142,0.0009142,0.0009142
28,520.957,0.55983,0.62257,0.89233,0.88062,1,0.95634,0.81966,0.64503,0.8267,0.89003,0.0009109,0.0009109,0.0009109
29,537.083,0.54796,0.67292,0.88935,0.90167,1,0.995,0.84949,0.66273,0.74754,0.89347,0.0009076,0.0009076,0.0009076
