MSSV,DIEM,SAI,DUNG,DA_TO,MA_DE,NGUON,THOI_GIAN
104049,5.67,26,34,51,002,IMG_20260320_153649.jpg,"3/28/2026, 10:46:04 PM"
104008,5.83,25,35,51,002,IMG_20260320_153657.jpg,"3/28/2026, 10:45:46 PM"
201018,8.33,10,50,51,002,IMG_20260320_153713.jpg,"3/28/2026, 10:45:06 PM"
104035,6.67,20,40,51,003,IMG_20260320_153728.jpg,"3/28/2026, 10:44:29 PM"
101014,7.5,15,45,51,003,IMG_20260320_153731.jpg,"3/28/2026, 10:44:02 PM"
104025,6.83,19,41,51,002,IMG_20260320_153744.jpg,"3/28/2026, 10:41:40 PM"
104011,6.5,21,39,50,003,IMG_20260320_153753.jpg,"3/28/2026, 10:40:57 PM"
101035,5.67,26,34,51,003,IMG_20260320_153759.jpg,"3/28/2026, 10:40:31 PM"
104053,6.33,22,38,51,002,IMG_20260320_153758.jpg,"3/28/2026, 10:40:19 PM"
101025,7,18,42,51,003,IMG_20260320_153757.jpg,"3/28/2026, 10:40:08 PM"
104047,6.17,23,37,51,002,IMG_20260320_153755.jpg,"3/28/2026, 10:39:56 PM"
104026,6.83,19,41,51,002,IMG_20260320_153754.jpg,"3/28/2026, 10:39:44 PM"
104030,7.17,17,43,51,002,IMG_20260320_153752.jpg,"3/28/2026, 10:39:21 PM"
104036,7,18,42,51,003,IMG_20260320_153751.jpg,"3/28/2026, 10:39:09 PM"
104056,7,18,42,51,002,IMG_20260320_153749.jpg,"3/28/2026, 10:38:58 PM"
104045,7,18,42,51,003,IMG_20260320_153748.jpg,"3/28/2026, 10:38:46 PM"
104028,7.17,17,43,51,002,IMG_20260320_153747.jpg,"3/28/2026, 10:38:34 PM"
104054,7.17,17,43,51,003,IMG_20260320_153745.jpg,"3/28/2026, 10:38:22 PM"
104027,8,12,48,51,002,IMG_20260320_153742.jpg,"3/28/2026, 10:37:47 PM"
104031,8,12,48,51,003,IMG_20260320_153741.jpg,"3/28/2026, 10:37:36 PM"
104010,7.33,16,44,51,003,IMG_20260320_153740.jpg,"3/28/2026, 10:37:24 PM"
104014,7.67,14,46,51,002,IMG_20260320_153739.jpg,"3/28/2026, 10:37:13 PM"
104013,5.33,28,32,51,003,IMG_20260320_153736.jpg,"3/28/2026, 10:36:49 PM"
104021,7.67,14,46,51,002,IMG_20260320_153735.jpg,"3/28/2026, 10:36:38 PM"
104021,7.67,14,46,51,002,IMG_20260320_153732.jpg,"3/28/2026, 10:36:26 PM"
401019,7.67,14,46,51,002,IMG_20260320_153730.jpg,"3/28/2026, 10:36:02 PM"
104039,6.83,19,41,51,002,IMG_20260320_153727.jpg,"3/28/2026, 10:35:39 PM"
101040,6.67,20,40,51,002,IMG_20260320_153726.jpg,"3/28/2026, 10:35:27 PM"
101044,6.33,22,38,51,003,IMG_20260320_153724.jpg,"3/28/2026, 10:35:19 PM"
104043,8.17,11,49,51,003,IMG_20260320_153719.jpg,"3/28/2026, 10:35:11 PM"
101062,8.33,10,50,51,002,IMG_20260320_153718.jpg,"3/28/2026, 10:35:07 PM"
104042,8.33,10,50,51,002,IMG_20260320_153717.jpg,"3/28/2026, 10:35:03 PM"
101005,6.83,19,41,51,003,IMG_20260320_153716.jpg,"3/28/2026, 10:34:59 PM"
101045,8.33,10,50,51,003,IMG_20260320_153715.jpg,"3/28/2026, 10:34:55 PM"
101045,8.33,10,50,51,003,IMG_20260320_153712.jpg,"3/28/2026, 10:34:47 PM"
101005,6.83,19,41,51,003,IMG_20260320_153711.jpg,"3/28/2026, 10:34:42 PM"
104042,8.33,10,50,51,002,IMG_20260320_153710.jpg,"3/28/2026, 10:34:38 PM"
101073,8.17,11,49,51,003,IMG_20260320_153708.jpg,"3/28/2026, 10:34:35 PM"
104032,6.5,21,39,51,003,IMG_20260320_153707.jpg,"3/28/2026, 10:34:31 PM"
201033,7.33,16,44,51,003,IMG_20260320_153706.jpg,"3/28/2026, 10:34:26 PM"
201030,7.33,16,44,51,002,IMG_20260320_153705.jpg,"3/28/2026, 10:34:22 PM"
104012,5.5,27,33,51,002,IMG_20260320_153704.jpg,"3/28/2026, 10:34:18 PM"
101006,6.83,19,41,51,003,IMG_20260320_153702.jpg,"3/28/2026, 10:34:14 PM"
201036,6.33,22,38,51,002,IMG_20260320_153659.jpg,"3/28/2026, 10:34:02 PM"
101051,6,24,36,51,003,IMG_20260320_153658.jpg,"3/28/2026, 10:33:58 PM"
104041,5.5,27,33,51,003,IMG_20260320_153652.jpg,"3/28/2026, 10:33:30 PM"
